person,2020,2021,2022,2023
101,141997,194196,258143,0
104,60260,82830,120099,0
105,60260,82830,120099,0
110,0,70386,0,0
111,30714,22000,88873,0
112,23236,23778,24339,0
118,57535,62139,145928,0
119,30714,22000,88873,0
123,6250,7053,7225,0
127,0,70386,0,0
139,4495,7156,8820,0
142,28812,4729,87739,0
143,28812,4729,87739,0
147,35044,34973,33962,0
151,80622,128773,108711,0
164,27583,30089,24132,0
166,14789,10504,13639,0
171,44265,17661,3806,0
176,0,0,30000,0
186,6781,1560,2116,0
187,4840,5320,3262,0
192,8956,3842,5246,0
200,8617,5418,4010,0
211,15708,8496,7282,0
226,1060121,366148,52057,0
230,13497,14702,11983,0
235,84462,132057,112214,0
236,80622,128773,108711,0
243,799386,892157,899954,0
244,141997,194196,258143,0
245,57535,62139,145928,0
246,84664,132059,112166,0
248,714721,760098,787787,0
253,14789,10504,13639,0
258,0,15129,0,0
10,1648,4179,2208,5141
16,4179,2207,5141,3379
17,4181,2211,5142,3379
32,28945,27376,27174,30708
35,12087,12438,13159,13947
41,39931,34819,45370,56891
43,0,12178,0,0
44,0,12178,0,0
68,4179,2208,5141,3379
101,40111,34393,44698,56399
111,17621,16622,28235,26425
117,28024,21954,31539,42452
118,28024,21954,31539,42452
119,17621,16622,28235,26425
128,23845,19747,26398,39073
151,11883,12291,13069,13863
166,6558,5162,5402,6577
188,26914,23900,30025,43322
210,28945,27376,27174,30708
222,7874,8085,8851,9628
235,12087,12438,13159,13947
236,11883,12291,13069,13863
243,41159,35829,46302,57896
244,40111,34393,44698,56399
245,28024,21954,31539,42452
246,12087,12438,13159,13947
247,6409,5074,4830,5882
248,29072,23390,33142,43949
250,28151,22075,31664,42603
253,6558,5162,5402,6577
262,39009,33503,43893,55545
7,58047,64337,51768,42380
10,10595,6745,9599,13488
15,8180,242,8180,8180
16,6744,9598,13428,11560
32,27138,28335,15699,21273
33,8180,242,8180,8180
35,40093,39110,45523,49037
58,3259,5196,5231,4171
68,6745,9599,13488,11602
81,6211,6453,6774,7370
90,11222,12100,12917,12333
101,0,0,46935,0
104,58047,64337,51768,42380
105,58047,64337,51768,42380
130,3259,5196,5231,4171
131,3259,5196,5231,4171
132,3259,5196,5231,4171
135,3259,5196,5231,4171
136,3259,5196,5231,4171
137,3259,5196,5231,4171
139,8140,9363,10180,9592
147,4814,4913,5241,5633
151,40020,39054,45418,48872
162,3257,5187,5227,4169
166,9399,10387,11116,10455
171,1530,13878,2706,2453
201,4200,6656,6704,5351
222,24167,33851,32014,34805
226,0,0,10219,10568
235,40093,39110,45523,49037
236,40020,39054,45418,48872
243,141598,159832,165840,160548
244,0,0,46935,0
246,40093,43024,45523,49037
248,101505,116808,120317,111512
253,9399,10387,11116,10455
0,4227,5388,11478,18990
3,145685,170103,170103,170103
7,1131342,1276591,1408960,1517940
10,811846,1269076,1733403,1639003
11,91367,104921,109917,118306
15,90548,90548,90548,90548
16,1298268,1742260,1638613,1578211
19,9803,0,2000,0
20,173240,136836,134481,112072
23,742539,974790,199528,103929
32,1775945,1675946,1366998,1388768
33,90548,90548,90548,90548
35,1101925,1237384,1358157,1501310
38,10119,5215,7074,12393
53,25767,20069,22505,23045
54,25767,20069,22505,23045
55,4143,1099,7751,0
58,32804,108985,183121,209095
68,1269076,1733403,1639003,1548791
70,72118,95722,89509,124696
73,149630,154420,154414,154478
74,729805,956286,175113,80378
75,45492,19905,13474,12532
77,55840,58347,56675,59629
78,0,0,7278,7278
79,0,0,7523,7444
81,389582,398346,417555,446878
87,50480,57812,60819,66700
88,181066,117209,133380,201960
90,521441,496926,546587,614717
101,1525193,1716694,1875136,1951349
104,1203459,1372313,1498470,1642636
105,1211590,1467495,1605047,1761108
106,8131,8298,6088,5637
107,0,86884,100490,112835
111,0,177188,186684,158995
112,160237,159689,160233,163644
118,435968,492126,528440,462913
119,0,177188,186684,158995
121,8131,95182,106578,118472
123,127859,128521,140330,152536
124,26797,27816,43819,46015
130,32804,108985,183121,209095
131,32804,108985,183121,209095
132,33214,109771,184818,211062
135,32804,108985,183121,209095
136,32804,108985,183121,209095
137,33214,109771,184818,211062
139,340375,379717,413207,412757
147,273624,268830,265489,277649
151,1101925,1237384,1350634,1493866
162,22743,86413,152326,167691
163,742539,974790,199528,103929
164,280732,292886,317293,329714
166,543465,570739,612789,615835
171,272771,295870,373626,337459
176,22570,22570,22570,25171
185,32698,27305,33512,33321
186,12853,2365,7751,8105
192,30992,22692,37123,39437
200,38569,41471,38872,33867
201,51122,125510,226867,256397
211,295200,284997,320601,310392
214,25767,20069,22505,23045
215,8134,8184,8057,8017
222,642023,754718,912813,1044571
224,0,0,68287,0
226,0,3121041,1997539,1115001
228,260,3267,9528,131
229,10304,9217,11163,10664
230,66144,67564,67839,70293
234,15486,25809,37801,50298
235,1101925,1237384,1358157,1501310
236,1101925,1237384,1350634,1493866
237,5424,3236,7006,8893
238,17907,15739,42049,45335
243,8913374,9648377,10298369,10866640
244,1525193,1716694,1875136,1951349
245,435968,492126,528440,462913
246,1128722,1265200,1401977,1547325
248,7784652,8383177,8896392,9319315
253,543465,570739,612789,615835
254,13913,14938,17893,12342
255,15486,25809,37801,50298
256,15486,25809,37801,50298
258,296866,0,0,0
0,17655,11823,20255,21568
3,34118,762429,756371,758531
7,2987909,3527363,3108925,3103630
10,2369064,1717902,1539246,2681922
11,84395,94207,122197,151279
15,61673,75780,75780,75780
16,1634696,1555967,2685045,2250064
20,322750,263000,274075,316038
32,3215211,3205659,3826505,3410861
33,61673,75780,75780,75780
35,2269161,2887350,2992940,3113636
36,0,410592,0,0
38,13856,42022,56066,32889
53,31991,27592,36148,37263
54,31991,27592,36148,37263
55,4078,1997,7839,9252
58,186548,310666,511703,600999
60,0,0,86028,126664
68,1717902,1539246,2681922,2186777
70,281658,190013,211159,223932
73,170992,170062,202680,202165
75,77706,85377,107737,139031
77,154752,185963,199930,227304
79,296429,300144,334064,333174
81,312420,354143,410621,490984
87,53271,59467,73597,0
88,398834,281358,262697,426589
90,1289106,1372654,1417568,1660524
101,3586707,4131287,4429292,4605615
104,3269567,3717375,3329198,3336679
105,3284570,3778093,3376603,3392270
107,14898,60717,46626,54796
110,0,410592,0,0
111,537503,125477,418191,461805
112,296429,300144,334064,0
118,1317546,1243938,1441131,1498492
119,537503,125477,418191,461805
121,15003,60717,47405,55591
123,149158,145043,155334,208422
124,25508,30518,41013,51086
130,186548,310666,511703,600999
131,186548,310666,511703,600999
132,186604,307558,514082,604250
135,186548,310666,511703,600999
136,186548,310666,511703,600999
137,186604,307558,514082,604250
139,890272,1091296,1154871,1233935
147,140638,183460,223269,273127
151,1972732,2587206,2658876,2780461
162,136072,238786,411643,470859
164,675038,759181,743160,767823
166,1241418,1478082,1537832,1664760
171,908067,582568,729318,830750
176,296114,17778,17749,18133
179,296429,300144,334064,333174
185,135793,149673,92465,106638
186,4078,1997,7839,0
187,65010,72871,77024,98394
192,41226,55963,136821,173700
200,34864,53888,54280,117579
201,299934,409921,645967,764297
211,1069879,989839,600140,742404
214,31991,27592,36148,37263
215,21449,15483,20716,18115
222,1639495,1819864,1981472,2106887
226,0,0,374246,29075
230,154752,185963,199930,227304
234,71950,88867,125730,164609
235,2269161,2887350,2992940,3113636
236,1972732,2587206,2658876,2780461
237,21475,16987,25670,34470
238,89520,78356,131885,160047
243,16100653,16780977,18656390,19650070
244,3586707,4131287,4429292,4605615
245,1317546,1243938,1441131,1498492
246,2294669,2917868,3033953,3164721
248,13805985,13863109,15622437,16485349
253,1241418,1478082,1537832,1664760
254,19494,42143,30538,25468
255,71950,88867,125730,164609
256,71950,88867,125730,164609
260,16491,460,22022,36143
3,3966,13538,22261,22237
32,988,1298,2704,11409
35,10090,20740,30653,31954
36,4753,9853,9090,0
101,10134,20738,0,0
110,4753,9853,9090,0
127,4753,9853,9090,0
151,8444,20717,30628,31803
235,10090,20740,30653,31954
236,8444,20717,30628,31803
243,14412,24776,33136,36384
244,10134,20738,0,0
246,10090,20740,30653,31954
0,7384,5030,6320,6548
3,20545,20545,20545,44189
7,385114,330420,333007,363384
10,312499,346376,412299,415267
11,20512,21598,22959,24430
15,52950,52950,52950,70172
16,355829,412282,415249,530360
20,14294,15396,16615,21275
23,266586,95519,12651,66344
30,33876,65924,2968,115111
32,816647,492657,629537,777664
33,52950,52950,52950,70172
35,199878,214066,259094,304792
36,0,0,27566,13301
38,567,717,697,16342
53,5288,5560,6291,7167
54,5288,5560,6291,7167
58,16024,23762,30451,35010
68,346376,412299,415267,530378
70,209804,152692,203850,48385
73,33080,33080,35086,35658
74,258605,91365,2226,43209
75,15820,21671,12906,26583
77,18767,19949,22669,22733
81,90532,94687,105998,129537
87,4694,6197,6000,6568
88,148346,118483,100367,134064
90,229473,234139,232332,247225
101,697999,646004,685408,816262
104,594917,483112,536857,411769
105,594917,483112,536857,411769
110,0,0,27566,13301
111,146831,79656,133562,136342
112,39704,39815,44061,45482
118,500255,433201,427991,513337
119,146831,79656,133562,136342
123,28920,31881,36738,41113
127,0,0,27566,13301
128,142292,19655,11065,0
130,16024,23762,30451,35010
131,16024,23762,30451,35010
132,16024,23762,30451,35010
135,16024,23762,30451,35010
136,16024,23762,30451,35010
137,16024,23762,30451,35010
139,81126,115655,131965,113161
147,58184,57368,63538,81178
151,199878,214066,259094,304792
162,16024,27089,30432,35010
163,266586,95519,12651,66344
164,67475,81582,87509,89074
166,110634,149273,162231,162878
171,27501,14997,7016,1984
186,40951,31581,25342,23848
192,53189,41016,37574,37293
200,7893,7704,5053,6982
201,22709,29933,38757,43802
211,73619,100949,118943,134324
214,5288,5560,6291,7167
222,17591,25330,32018,36577
226,21438,110525,62959,22113
229,2683,3403,4696,5373
230,21450,23352,27365,28105
235,199878,214066,259094,304792
236,199878,214066,259094,304792
238,6685,6171,8306,8792
243,3612084,3718683,4021483,4387497
244,697999,646004,685408,816262
245,500255,433201,427991,513337
246,199878,214066,259094,304792
248,3412206,3504617,3762390,4082706
253,110634,149273,162231,162878
254,4854,4405,5912,6898
3,3505,28272,28254,42539
7,2532,11710,34859,33481
10,3693,3491,23977,45899
15,6662,9422,9422,12039
16,3547,24023,45961,26146
32,8677,52484,123344,46548
33,6662,9422,9422,12039
35,11206,28898,37446,33230
36,1486,27527,0,0
68,3491,23977,45899,26029
71,1502,27303,16655,704
77,534,4671,8479,4344
88,2770,3535,7161,9475
90,4332,6452,21618,38470
104,2532,11710,34859,33481
105,2532,11710,34859,33481
110,1486,27527,0,0
127,1486,27527,0,0
139,1562,2917,14457,28995
145,0,0,17011,1050
151,11194,27922,36172,31783
164,2025,12315,16129,13477
166,2414,4380,17713,32320
171,73,2673,8169,8930
211,567,5718,7065,6911
226,0,452,9722,3863
229,97,5360,2842,885
230,631,10031,11321,5229
235,11206,28898,37446,33230
236,11194,27922,36172,31783
243,54213,113378,196943,181695
246,11206,28898,37446,33230
248,43007,84480,159497,148465
253,2414,4380,17713,32320
0,9536,7264,5279,6271
1,14237,11281,9272,10546
3,11849,13129,13129,13129
10,11774,17582,28275,38195
11,896,1085,1079,7726
15,39761,42619,42619,50639
16,17582,28275,38195,42629
17,34167,47944,45083,48061
19,9332,18989,21686,29576
20,8249,9286,16508,13053
23,17097,17062,9237,399
27,0,15907,839,3461
30,5950,10838,9948,4542
32,26600,37892,40370,14835
33,39761,42619,42619,50639
35,46065,51533,53536,62408
39,11930,9948,11708,12529
41,144567,167914,179110,188901
43,10337,10223,16781,15168
44,10377,10274,16814,15202
49,29241,26806,32504,31982
63,7218,7600,7878,8361
64,7845,8056,8283,8804
68,17582,28275,38195,42629
70,22559,24948,27833,26079
79,5110,5227,5482,5764
80,14577,11629,9619,10714
81,5755,5552,5734,15637
82,11226,15274,15243,16506
84,1306,1209,13402,11961
88,6372,5929,5097,6795
89,6372,5929,5097,6795
97,0,10418,11978,13454
98,9945,10418,11978,13454
101,61650,66311,73883,84829
104,23879,26168,43468,40273
111,4905,23679,24400,31899
117,5248,4556,3566,7253
118,5303,4642,3619,7272
119,4905,23679,24400,31899
124,4874,8545,8472,7622
145,0,2880,40,7993
147,2049,1820,1773,11390
151,40954,46305,48054,56644
156,5346,5734,5926,0
161,8617,8892,9520,9898
163,0,17062,9237,399
164,2400,4997,5356,6268
165,8825,10277,9887,10238
166,23155,25222,26951,29034
171,17962,23551,26988,5256
182,10786,10818,9820,9077
183,99862,123137,142393,143044
188,92326,105799,122208,126521
189,16586,19669,6889,5432
192,11851,8485,6754,7750
210,8638,14341,13382,9579
213,11930,9948,11708,12529
222,2711,4133,5496,6056
230,3550,5055,4769,4523
235,46065,51533,53536,62408
236,40954,46305,48054,56644
243,191015,216540,243062,258638
244,51313,56089,57102,69661
245,15680,14916,20433,22474
246,50938,60078,62008,70030
247,14330,14945,17064,18796
248,140077,156462,181054,188608
249,46449,48625,63952,69737
250,110836,129656,148550,156626
253,23155,25222,26951,29034
258,22556,0,0,0
262,115326,141108,146606,156919
3,1788,11254,19154,0
7,19152,34805,33248,0
10,15933,20260,33759,0
15,122231,126362,130329,0
16,20513,33815,43308,0
30,4311,13483,9452,0
32,17495,57168,135677,0
33,122231,126362,130329,0
35,14432,26598,37264,0
68,20260,33759,43255,0
71,2461,13965,9951,0
81,4885,4973,5316,0
88,9527,8888,10506,0
90,9788,9914,16782,0
101,16961,0,43264,0
104,19155,34805,33248,0
105,19155,34805,33248,0
139,261,1026,6276,0
145,0,13100,10019,0
151,13439,25706,36448,0
164,6031,6538,6979,0
166,51,1430,6995,0
171,2844,5305,6840,0
176,8955,11900,10019,0
200,41042,36451,30190,0
226,17848,3536,9485,0
235,14432,26598,37264,0
236,13439,25706,36448,0
243,162049,213176,336174,0
244,16961,0,43264,0
246,14432,26598,37264,0
248,147617,186578,298910,0
253,51,1430,6995,0
101,5663,4353,4511,4926
243,9093,8871,8840,9106
249,5135,5393,5177,5305
35,0,5033,5620,0
81,0,13417,18278,0
101,0,6408,7173,0
123,0,11857,16886,0
147,0,4467,8136,0
151,0,5033,5620,0
235,0,5033,5620,0
236,0,5033,5620,0
243,0,8331,12800,0
244,0,5417,6219,0
246,0,5033,5620,0
248,0,3299,7180,0
249,0,4943,8464,0
0,7089,4805,8202,9382
3,79862,79862,79862,79862
7,274076,336964,215265,187194
10,130750,166983,182606,196613
11,14470,14483,14660,16147
15,59956,59956,59956,59956
16,173250,191069,200500,189478
20,28381,27896,27598,23622
32,852959,818748,728252,1024329
33,59956,59956,59956,59956
35,431078,446487,468437,492366
38,6983,0,0,0
53,6589,6171,6049,6406
55,6742,2772,2488,3260
58,10076,15715,33023,35039
68,166983,182606,196613,185628
70,27633,19312,1334,8098
77,13933,20888,22097,24311
78,10745,10745,10745,10745
79,15867,16994,17320,18145
81,53791,53030,53130,57025
88,61505,37756,30447,47593
90,200876,177490,173933,202103
101,604768,556995,566775,642770
104,306406,358970,221718,203185
105,315651,368460,231310,212756
107,9245,9490,9592,9572
111,112080,72065,112459,247416
112,6404,6143,6146,6142
118,176131,112514,101596,154163
119,112080,72065,112459,247416
121,9245,9490,9592,9572
123,25102,23829,22709,23587
124,4677,5487,6348,7228
130,10076,15715,33023,35039
131,10076,15715,33023,35039
132,10889,16677,34296,36580
135,10076,15715,33023,35039
136,10076,15715,33023,35039
137,10889,16677,34296,36580
139,139371,139734,143486,154510
147,21057,18955,19255,21606
151,415211,429493,451117,474221
162,10585,15950,33224,35038
164,90052,94738,101331,108054
166,176809,175246,178166,190938
171,23036,24551,24407,37168
179,5121,6249,6575,7400
185,13479,3830,1086,686
187,7815,8575,9615,11150
192,10724,7321,13905,13773
200,9297,8802,14463,22800
201,20671,22808,44046,46937
211,22890,13757,9489,22750
214,6589,6171,6049,6406
222,282134,297524,324861,347076
226,143070,145122,204155,75906
229,1069,5647,9264,8941
230,15002,26534,31361,33252
235,431078,446487,468437,492366
236,415211,429493,451117,474221
238,9781,6131,9750,10357
243,2008901,1922075,1977297,2213045
244,604768,556995,566775,642770
245,176131,112514,101596,154163
246,435755,451974,474785,499594
248,1573146,1470101,1502512,1713452
253,176809,175246,178166,190938
32,1039,4121,6614,602
35,3710,6730,7629,8067
81,623,2300,2794,5083
101,3710,6730,7629,8067
147,3588,5579,6420,8555
151,3710,6730,7618,8058
166,1107,4594,6480,4019
210,1039,4121,6614,602
235,3710,6730,7629,8067
236,3710,6730,7618,8058
243,4070,7283,8465,9004
244,3710,6730,7629,8067
246,3799,6818,7718,8156
249,3593,5579,6434,8572
253,1107,4594,6480,4019
15,1884,1884,1884,5384
32,9201,1662,447,6362
33,1884,1884,1884,5384
39,9550,1295,348,5036
49,3457,5579,2993,3231
111,8647,490,0,0
166,7280,1423,391,6118
210,9184,1662,374,6139
213,9550,1295,348,5036
232,5541,490,0,0
243,6778,6735,6150,6903
247,10417,1959,1021,5885
248,6706,8478,8813,5498
249,5020,5323,5421,5572
250,3248,2899,5820,2267
253,7280,1423,391,6118
257,139,244,5779,2212
3,15835,2415,2415,2415
7,0,1809,6168,7598
10,7592,4452,18341,12200
15,21734,43089,43089,43089
16,4452,18341,12200,8607
32,23577,42922,24843,9370
33,21734,43089,43089,43089
35,13616,18911,16418,16691
36,16885,5845,0,0
68,4452,18341,12200,8607
71,16885,7935,0,0
84,6171,6170,6168,0
104,6171,8179,7983,7598
105,6171,8179,7983,7598
110,16885,5845,0,0
127,16885,5845,0,0
151,13449,18785,16328,16584
164,2891,3799,5394,2620
171,944,1500,6933,2947
200,59,7389,6589,8008
235,13616,18911,16418,16691
236,13449,18785,16328,16584
243,53373,88496,72231,68008
246,13616,18911,16418,16691
248,39757,69585,55813,51318
0,5489,12309,15241,13563
1,3593,4436,9915,12635
7,31871,47848,19400,14525
10,9779,13144,49992,30715
11,3348,14260,16017,17088
15,101198,251759,296233,301915
16,13144,49992,30715,18950
17,13144,49992,30715,18950
19,1906,504,13799,394
20,11238,49488,16916,18556
32,113035,153943,360924,408673
33,101198,251759,296233,301915
35,25621,97520,101843,76209
36,13503,147951,77485,9786
39,39854,82779,140470,123157
41,29723,77466,65569,59128
43,0,50602,850,15138
44,628,51869,2159,16612
49,16001,71913,27183,40542
68,13144,49992,30715,18950
71,30265,145583,25448,21495
72,3431,12496,14008,17891
77,6760,6719,12468,13384
78,9744,24694,24694,24694
79,10118,30229,30156,29944
80,3963,4821,10531,13191
81,17363,34871,37967,38908
82,3134,5800,12221,24022
100,3148,12732,13547,16756
101,70995,148122,102693,91347
104,31871,47848,19400,14525
106,31514,46962,18645,0
109,357,886,19400,14525
110,13503,147951,77485,9786
111,16874,50000,61393,80030
112,8963,8963,8963,8963
117,45374,0,0,0
118,45938,3581,3181,3229
119,16874,0,0,0
121,31871,48172,19734,14873
127,13503,147951,77485,9786
128,32230,611,0,0
134,10499,6006,0,0
147,14418,23326,22663,21272
151,15502,67290,71687,46265
158,16,5042,2519,1936
164,36311,43372,62293,59870
166,42988,88578,152691,147179
179,375,5536,5462,5250
187,4555,10989,11935,12220
192,6167,13080,17393,16366
200,9233,9171,10412,9674
209,1408,6232,6546,0
210,113035,153943,360924,408673
213,39854,82779,140470,123157
226,0,100,7780,5385
229,17896,17333,24627,18008
230,24656,24052,37095,31393
232,0,50000,61393,80030
235,25621,97520,101843,76209
236,15502,67290,71687,46265
243,89716,183895,140768,128409
244,70995,97520,101843,76209
245,46566,55450,5340,19841
246,25790,100851,104818,78418
247,76166,126151,202763,183027
248,63925,83044,35950,49992
249,59992,106429,75199,69282
250,47925,11131,8767,9450
253,42988,88578,152691,147179
262,13723,5553,38386,18586
10,6790,7990,5601,5464
15,9647,9647,9647,9647
16,7990,5601,5464,4246
17,7990,5601,5464,4246
19,5957,2316,3192,2572
32,7243,2702,4473,5243
33,9647,9647,9647,9647
35,43563,42935,43282,43673
41,27228,25127,25871,24295
68,7990,5601,5464,4246
100,15774,16851,17120,16795
101,61594,59068,59541,58133
111,5838,0,13453,14705
117,16293,12918,14405,12989
118,16293,12918,14405,12989
119,5838,0,13453,14705
128,10041,10531,10795,10214
151,43563,42935,43282,43673
166,2423,2298,5428,5443
182,30882,31173,30750,31430
210,7237,2696,4473,5242
222,29674,29047,29393,29785
235,43563,42935,43282,43673
236,43563,42935,43282,43673
243,62822,60462,60785,59401
244,59855,55854,57686,56663
245,18031,16133,16259,14460
246,43567,42939,43285,43678
248,19255,17523,17500,15723
249,35594,35335,34913,35106
250,16669,13197,14700,13301
253,2423,2298,5428,5443
262,24642,20801,23072,21873
3,5533,5533,6095,6095
10,6600,14147,9692,10733
11,4004,5069,5379,5645
16,14147,9692,10733,17397
17,14147,9692,10733,17397
19,12871,7546,2695,8420
20,1276,2146,8037,8976
32,161629,166512,225817,253327
35,66062,74297,87551,94991
39,16440,13781,17559,20926
41,142608,147642,208153,227348
43,0,0,59546,76110
44,0,0,59546,76110
49,3425,4443,6954,5043
58,7016,11313,18067,16439
63,11189,16223,23818,23155
64,12429,17490,25260,25094
68,14147,9692,10733,17397
81,11832,12325,13348,15246
82,27135,24749,33865,40558
101,143796,147066,205835,228857
111,44134,58952,103272,87886
117,77735,72769,118284,133866
118,77735,72769,118284,133866
119,44134,58952,103272,87886
123,4802,4914,5740,6899
128,63588,63077,107551,116470
130,7016,11313,18067,16439
131,7016,11313,18067,16439
132,7016,11313,18067,16438
135,7016,11313,18067,16439
136,7016,11313,18067,16439
137,7016,11313,18067,16438
147,6702,6483,7049,8111
151,65631,73735,86156,92439
161,11413,15653,23619,25285
162,6196,9840,16742,16594
164,17105,10392,11762,17290
165,10030,14357,22103,23268
166,43575,38530,51425,61484
185,11520,4652,4491,9443
188,128211,137633,197169,209571
192,2359,3077,5233,4541
201,8700,14110,22387,20253
210,159173,163913,223379,251197
213,16440,13781,17559,20926
222,58186,65708,78017,85382
230,3340,4457,5327,5481
232,0,0,0,38000
235,66062,74297,87551,94991
236,65631,73735,86156,92439
243,152005,156357,219296,239914
244,143796,147066,205835,228857
245,77735,72769,118284,133866
246,66062,74302,87559,94998
247,33545,24172,29322,38216
248,85944,82055,131737,144916
249,9398,8715,11143,12567
250,82519,77612,124784,139873
253,43575,38530,51425,61484
262,139183,143199,201199,222305
3,177,177,5421,6921
7,1849,2026,16508,14669
10,6313,9712,36737,34294
15,11175,11175,16471,23971
16,9716,36728,34302,23289
32,13405,26810,6429,10396
33,11175,11175,16471,23971
35,11391,21489,31388,32442
36,0,10000,9540,0
68,9712,36737,34294,23244
90,3549,3172,4334,5928
104,2750,3141,16511,14829
105,2750,3141,16511,14829
110,0,10000,9540,0
127,0,10000,9540,0
145,0,10000,0,0
151,11360,21468,31271,32328
166,2186,2232,3649,5026
235,11391,21489,31388,32442
236,11360,21468,31271,32328
243,53655,85760,89681,94023
246,11391,21489,31388,32442
248,42263,64271,58294,61581
253,2186,2232,3649,5026
15,5000,5000,5000,5000
17,3568,6141,8772,9246
33,5000,5000,5000,5000
35,5161,5360,5374,5433
41,6071,6814,9344,10131
49,1286,1925,4947,5641
101,5161,5360,7854,7918
151,5160,5360,5374,5433
189,3539,6029,6199,6598
235,5161,5360,5374,5433
236,5160,5360,5374,5433
243,6518,7361,10389,11148
244,5161,5360,5374,5436
246,5195,5397,5414,5474
248,1322,1964,4975,5673
0,14682,14044,13514,10806
1,40471,39050,39425,40076
3,38444,47403,38145,38145
7,26514,9878,23797,21640
10,14509,19620,34935,44708
11,49870,51552,52522,61251
15,73766,86068,86068,86068
16,19620,34935,44708,48908
17,69052,96566,93438,99538
19,9596,20078,22775,29831
20,9980,14857,21933,19078
23,44296,57507,41625,7400
30,5111,15315,9773,4200
32,166338,217791,223341,187150
33,73766,86068,86068,86068
35,144300,155529,170386,178979
36,5999,0,0,0
38,37004,44861,49025,41007
39,78499,92659,92753,93573
41,214335,246496,250365,270941
43,78888,90974,59750,65549
44,79433,91341,60346,65968
49,206799,224401,218097,220630
53,3890,4670,5243,5280
54,3890,4670,5243,5280
58,1510,6476,7303,3066
63,34357,41754,43449,23843
64,34357,46424,48692,29123
68,19620,34935,44708,48908
72,31293,34582,36011,36740
77,36758,13558,11736,10702
78,47056,47061,47310,47310
79,64894,62642,67735,68817
80,41565,40262,40690,41394
81,279673,294425,314272,298774
82,72826,86061,88084,63032
84,1068,1068,13290,0
88,13262,9691,8309,9852
89,13262,9691,8309,9852
100,36352,38570,42424,43835
101,289927,277846,292638,300614
103,0,1358,8669,8687
104,26514,10946,23797,21640
107,48154,53932,53809,53697
110,5999,0,0,0
111,27917,49346,47867,59326
112,22935,24674,25215,27698
117,66738,31344,62502,56086
118,66927,31548,62633,56585
119,0,3652,2037,31842
121,48154,53932,53809,53697
123,51171,53171,62359,39354
124,172609,207407,223936,234854
128,126007,87383,77544,72727
130,1510,6476,7303,3066
131,1510,6476,7303,3066
132,14470,25378,26822,12335
135,1510,6476,7303,3066
136,1510,6476,7303,3066
137,14470,25378,26822,12335
145,5469,2880,0,8020
147,162625,168184,183268,163199
150,27917,45694,45830,27483
151,79406,92887,102651,110162
157,14127,13883,12482,13314
160,8751,11596,12020,13400
161,34357,44413,48972,29582
162,1510,4884,7516,3471
164,36758,38987,38498,37576
165,36068,47074,49586,25456
166,151324,178719,180837,156605
171,12500,20274,26960,5823
172,20152,15038,12683,14641
174,89785,100819,126898,123316
179,17838,15581,20425,21507
180,4484,3988,6412,7095
182,15490,15022,14844,19731
183,11206,10427,11006,8802
186,16822,12524,10384,12201
187,118693,120167,125151,129464
188,30827,41110,46340,54954
189,49432,61631,48730,50630
192,33636,28210,27421,27975
200,17481,14826,15371,17234
201,21095,32063,35140,13991
210,153838,197517,196382,181327
213,78499,92659,92753,93573
214,3890,4670,5243,5280
222,14143,20619,27922,30977
230,36758,17788,15983,14853
232,27917,45694,45830,27483
235,144300,155529,170386,178979
236,79406,92887,102651,110162
238,6624,6684,8318,1656
243,607951,634514,690998,704089
244,211039,186872,232888,235065
245,146360,122889,122979,122553
246,316909,362936,394322,413833
247,115257,131646,131251,131149
248,291042,271578,296676,290257
249,393616,388017,440633,433149
250,84242,47177,78579,69627
253,151324,178719,180837,156605
262,7535,22095,32269,50311
3,5515,5515,17073,24823
7,25642,39545,49578,42070
10,10640,20921,51867,45086
15,5654,5654,5937,6135
16,20964,51917,45141,50302
32,35988,62207,67908,63604
33,5654,5654,5937,6135
35,12171,23737,32881,35562
36,0,11874,8004,0
68,20921,51867,45086,50236
88,2531,4409,5829,9789
90,4303,6733,11728,17266
104,25642,42504,50991,43696
105,25642,42504,50991,43696
110,0,11874,8004,0
127,0,11874,8004,0
139,1772,2324,5899,7477
151,12171,23737,32881,35562
166,2493,3263,6184,7945
226,27247,111445,12110,21186
235,12171,23737,32881,35562
236,12171,23737,32881,35562
243,84377,150558,205527,243846
246,12171,23737,32881,35562
248,72205,126822,172646,208284
253,2493,3263,6184,7945
15,11582,11582,11582,11582
33,11582,11582,11582,11582
35,8079,8042,7990,7526
41,6981,7156,5732,5098
72,6148,5861,0,0
101,12902,13009,13262,13323
103,10555,10110,9609,10235
117,4554,4727,5020,5433
118,4554,4727,5020,5438
151,7857,7819,7990,7526
166,5298,2940,3273,2641
235,8079,8042,7990,7526
236,7857,7819,7990,7526
243,21333,20453,18883,19453
244,12633,12768,13011,12958
245,4831,4968,5271,5804
246,11579,11033,10820,10534
248,9754,9420,8064,8919
249,14353,13297,13151,14356
250,5411,5235,5587,6345
253,5298,2940,3273,2641
3,25128,25128,25128,25128
10,4629,7988,9456,8910
16,7988,9456,8910,9834
17,7988,9456,9106,10032
19,7260,8631,7681,8811
23,2303,3045,9091,10354
32,21958,22201,36167,45785
35,51384,50500,52482,55202
39,17121,17269,25177,30183
41,12416,13665,13799,14970
49,6399,5650,9084,8757
68,7988,9456,8910,9834
81,82236,72378,76202,83094
82,3345,4940,10724,14041
101,63885,58896,59267,65366
